Пълен код на секция,Брой преференции,Име на кандидат,Име на партия,Име на административна единица,ЕКАТТЕ,Име на Населено място,Флаг машинно гласуване
234617068,32,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),23. СОФИЯ 23 МИР,68134,гр. София,1
244601006,31,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,0
244601042,31,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,0
244604033,31,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,0
234610043,31,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),23. СОФИЯ 23 МИР,68134,гр. София,1
234609017,31,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),23. СОФИЯ 23 МИР,68134,гр. София,1
234608031,31,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),23. СОФИЯ 23 МИР,68134,гр. София,0
321500074,31,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),32. Извън страната,100059,"Гърция, Кавала",0
321300048,31,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),32. Извън страната,100036,"ФР Германия, Берлин",0
321300047,30,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),32. Извън страната,100036,"ФР Германия, Берлин",0
234610018,30,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),23. СОФИЯ 23 МИР,68134,гр. София,0
234615061,30,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),23. СОФИЯ 23 МИР,68134,гр. София,0
244604044,30,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,1
244601039,30,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,0
244601035,30,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,0
244601029,30,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,0
244607042,30,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,0
